"",index,raw name,mz_time,Peak.Id,mz,rt,Compound,exact_mass,Add.name
"174",174,186.129065892893 / 210,186.1291 / 210,186.129065892893 / 210,186.1291,210,C05961,370.2355,M+2H
"175",175,186.182643751869 / 1305.59997558594,186.1826 / 1305.6,186.182643751869 / 1305.59997558594,186.1826,1305.6,C05416,370.36,M+2H
"176",176,187.124071632339 / 1035,187.1241 / 1035,187.124071632339 / 1035,187.1241,1035,C11989,372.2512,M+2H
"177",177,187.186308182616 / 1305.59997558594,187.1863 / 1305.6,187.186308182616 / 1305.59997558594,187.1863,1305.6,C10813,372.3504,M+2H
"178",178,188.068967746349 / 280.799987792969,188.069 / 280.8,188.068967746349 / 280.799987792969,188.069,280.8,C01957,374.1213,M+2H
"179",179,188.100476200848 / 60.9000015258789,188.1005 / 60.9,188.100476200848 / 60.9000015258789,188.1005,60.9,C07045,374.1761,M+2H
"180",180,188.173734573499 / 45.2999992370605,188.1737 / 45.3,188.173734573499 / 45.2999992370605,188.1737,45.3,C11307,357.2798,M+H+NH4
"181",181,189.073726792555 / 332.099975585938,189.0737 / 332.1,189.073726792555 / 332.099975585938,189.0737,332.1,C08747,376.1522,M+2H
"182",182,189.071399592787 / 280.799987792969,189.0714 / 280.8,189.071399592787 / 280.799987792969,189.0714,280.8,C08747,376.1522,M+2H
"183",183,189.086621439966 / 60.2999992370605,189.0866 / 60.3,189.086621439966 / 60.2999992370605,189.0866,60.3,C08747,376.1522,M+2H
"184",184,189.132986262598 / 48.2999992370605,189.133 / 48.3,189.132986262598 / 48.2999992370605,189.133,48.3,C15157,376.2614,M+2H
"185",185,189.158294935037 / 44.7000007629395,189.1583 / 44.7,189.158294935037 / 44.7000007629395,189.1583,44.7,C03990,376.2977,M+2H
"186",186,190.047939588552 / 407.700012207031,190.0479 / 407.7,190.047939588552 / 407.700012207031,190.0479,407.7,C03998,378.0815,M+2H
"187",187,190.075985040531 / 68.0999984741211,190.076 / 68.1,190.075985040531 / 68.0999984741211,190.076,68.1,C01007,378.1539,M+2H
"188",188,192.060566929581 / 39,192.0606 / 39,192.060566929581 / 39,192.0606,39,C00448,382.131,M+2H
"189",189,192.063303689003 / 430.5,192.0633 / 430.5,192.063303689003 / 430.5,192.0633,430.5,C00448,382.131,M+2H
"190",190,192.063031630125 / 615.299987792969,192.063 / 615.3,192.063031630125 / 615.299987792969,192.063,615.3,C00448,382.131,M+2H
"191",191,192.102984382243 / 533.400024414062,192.103 / 533.4,192.102984382243 / 533.400024414062,192.103,533.4,C09027,382.1893,M+2H
"192",192,193.094829097937 / 57.2999992370605,193.0948 / 57.3,193.094829097937 / 57.2999992370605,193.0948,57.3,C10893,384.1573,M+2H
"193",193,193.10565873912 / 533.699981689453,193.1057 / 533.7,193.10565873912 / 533.699981689453,193.1057,533.7,C04578,384.2049,M+2H
"194",194,193.152843587613 / 49.0426368713379,193.1528 / 49,193.152843587613 / 49.0426368713379,193.1528,49,C06092,343.2511,M+ACN+2H
"195",195,194.078830562283 / 619.5,194.0788 / 619.5,194.078830562283 / 619.5,194.0788,619.5,C11093,386.1632,M+2H
"196",196,194.101527127866 / 126.599998474121,194.1015 / 126.6,194.101527127866 / 126.599998474121,194.1015,126.6,C08022,386.2028,M+2H
"197",197,194.093783019613 / 879.376403808594,194.0938 / 879.4,194.093783019613 / 879.376403808594,194.0938,879.4,C10547,386.1729,M+2H
"198",198,195.074273149678 / 196.5,195.0743 / 196.5,195.074273149678 / 196.5,195.0743,196.5,C07778,388.1554,M+2H
"199",199,195.08548676525 / 504.299987792969,195.0855 / 504.3,195.08548676525 / 504.299987792969,195.0855,504.3,C07699,388.1634,M+2H
"200",200,195.131671191928 / 52.5,195.1317 / 52.5,195.131671191928 / 52.5,195.1317,52.5,C14675,388.225,M+2H
"201",201,196.05901055325 / 192,196.059 / 192,196.05901055325 / 192,196.059,192,C08543,390.1063,M+2H
"202",202,196.058449097357 / 249,196.0584 / 249,196.058449097357 / 249,196.0584,249,C08543,390.1063,M+2H
"203",203,196.058574821919 / 631.5,196.0586 / 631.5,196.058574821919 / 631.5,196.0586,631.5,C08543,390.1063,M+2H
"204",204,196.058374526364 / 548.100036621094,196.0584 / 548.1,196.058374526364 / 548.100036621094,196.0584,548.1,C08543,390.1063,M+2H
"205",205,197.064562810101 / 236.399993896484,197.0646 / 236.4,197.064562810101 / 236.399993896484,197.0646,236.4,C06165,392.1134,M+2H
"206",206,197.064786504262 / 151.199996948242,197.0648 / 151.2,197.064786504262 / 151.199996948242,197.0648,151.2,C06165,392.1134,M+2H
"207",207,197.078517620579 / 839.100036621094,197.0785 / 839.1,197.078517620579 / 839.100036621094,197.0785,839.1,C07662,392.166,M+2H
"208",208,197.062078434487 / 249.300003051758,197.0621 / 249.3,197.062078434487 / 249.300003051758,197.0621,249.3,C06165,392.1134,M+2H
"209",209,197.126072571338 / 464.100006103516,197.1261 / 464.1,197.126072571338 / 464.100006103516,197.1261,464.1,C09115,392.2199,M+2H
"210",210,198.067246460037 / 236.100006103516,198.0672 / 236.1,198.067246460037 / 236.100006103516,198.0672,236.1,C07593,394.1416,M+2H
"211",211,199.080172876712 / 60.3000030517578,199.0802 / 60.3,199.080172876712 / 60.3000030517578,199.0802,60.3,C10063,396.1573,M+2H
"212",212,199.094295457557 / 766.799987792969,199.0943 / 766.8,199.094295457557 / 766.799987792969,199.0943,766.8,C10063,396.1573,M+2H
"213",213,199.083368229901 / 106.5,199.0834 / 106.5,199.083368229901 / 106.5,199.0834,106.5,C10063,396.1573,M+2H
"214",214,199.105722451539 / 115.199996948242,199.1057 / 115.2,199.105722451539 / 115.199996948242,199.1057,115.2,C11784,396.2049,M+2H
"215",215,200.053010519555 / 126.89998626709,200.053 / 126.9,200.053010519555 / 126.89998626709,200.053,126.9,C04425,398.1134,M+2H
"216",216,200.089822944768 / 102.299995422363,200.0898 / 102.3,200.089822944768 / 102.299995422363,200.0898,102.3,C04303,398.1703,M+2H
"217",217,200.089598909889 / 92.4000015258789,200.0896 / 92.4,200.089598909889 / 92.4000015258789,200.0896,92.4,C04303,398.1703,M+2H
